Segment,Segment Name,Time Period,date_end,Date End,FY,Date Month,Avg Paid Invoice Amt,Avg SR Amt,Avg. Intuit Paid Inv Amt,Avg. Intut Paid SR Amt,Eco Invoice Actives 31D,Intuit Paid Inv per Active,Intuit Paid SR per Active,cc_actives_31d,active_cohorted_churn,passive_cohorted_churn,hvc_cohorted_churn,non_hvc_cohorted_churn,active_cohorted_churn_py,passive_cohorted_churn_py,hvc_cohorted_churn_py,non_hvc_cohorted_churn_py,qbo_active_cohorted_churn,qbo_active_cohorted_churn_py,pymt_active_cohorted_churn,pymt_active_cohorted_churn_py,Eco TPV 31d Absolute,CC TPV 31d Absolute,ACH TPV 31d Absolute,Eco Actives 31d Absolute,Eco Txns 31d Absolute,CC Txns 31d Absolute,ACH Txns 31d Absolute,Eco Invoice Amount 31d Absolute,Eco Sales Receipt Amount 31d Absolute,Eco Recurring Invoice Amount 31d Absolute,Eco CP Recurring Invoice Amount 31d Absolute,Eco Non-Recurring Invoice Amount 31d Absolute,Eco CP Amount 31d Absolute,Eco Non-CP Amount 31d Absolute,Eco Invoice Txns 31d Absolute,Eco Sales Receipt Txns 31d Absolute,Eco Recurring Invoice Txns 31d Absolute,Eco CP Recurring Invoice Txns 31d Absolute,Eco Non-Recurring Invoice Txns 31d Absolute,Eco CP Txns 31d Absolute,Eco Non-CP Txns 31d Absolute,31d Active Repeat Absolute,31d Active Lapse Absolute,31d Active Resurrect Absolute,31d Active GNA Absolute,31d Repeat CV Absolute,31d Lapse CV Absolute,31d Resurrect CV Absolute,31d GNA CV Absolute,31d Repeat Txn Absolute,31d Lapse Txn Absolute,31d Resurrect Txn Absolute,31d GNA Txn Absolute
100% Mobile TPV,Digital Platform Distribution,Week,2023-09-16,2023-09-16,FY24,9,1165.121305,296.867571,824.8942982,null,61990,8.401568265,0,39526,1,1,1,1,null,null,null,null,1,null,1,null,408213208.7,256102242.1,109977744.8,43194,498676,286326,48702,249141391.6,0,24579.03,3705.97,395520283.3,334347827,38052860.39,350227,0,13,5,479144,362898,48457,31069,0,6972,1850,251017670,0,24443884,8476187,332038,0,11416,4472
100% Web TPV,Digital Platform Distribution,Week,2023-09-16,2023-09-16,FY24,9,1936.935032,299.070434,1442.181666,null,461513,12.79861055,0,291715,1,1,1,1,null,null,null,null,1,null,1,null,8143089821,3176928215,3385433545,300157,5573618,2597926,1005521,5076907014,0,273449738,231578855.3,7592847854,5826201470,1165799883,3846290,0,428922,242162,4875851,3484111,1092341,229356,0,45138,12842,5201700074,0,254759368,108996621,3698676,0,86886,37168
70% to <100% Mobile TPV,Digital Platform Distribution,Week,2023-09-16,2023-09-16,FY24,9,987.6428762,362.691842,723.0781595,241.406717,11547,19.87113062,0.5503442135,7072,1,1,1,1,null,null,null,null,1,null,1,null,172288923.7,105689614.1,44551647.42,7799,235859,136725,21225,106781952.9,1375052.67,508160.5,468780.28,163190494.6,127579584,27955555.39,163343,4356,2590,1803,209491,143611,45232,6247,0,406,212,116769238,0,3148096,1613834,158196,0,1434,1321
Cross-Platform Blended,Digital Platform Distribution,Week,2023-09-16,2023-09-16,FY24,9,1327.825532,288.791443,877.0369456,190.3536042,16149,16.82757854,0.3223794293,9953,1,1,1,1,null,null,null,null,1,null,1,null,230467915.9,132884917.4,65905926.55,10860,253541,140781,27762,140888120.9,839073.08,2867139.16,2632142,219689517.2,171459889.2,28412112.66,171949,3614,14754,10060,223867,167941,41706,8707,0,693,275,154907596,0,4495920,1809682,170100,0,2156,1425
All Segments,Aggregate,Week,2023-10-21,2023-10-21,FY24,10,1660.210934,345.873017,1166.706392,380.1622066,625496,14.39361113,3.473131407,406743,1,1,1,1,null,null,null,null,1,null,1,null,11616931298,5236467316,4530245914,453900,11110391,5674260,1633613,6560683050,849082845.7,375149196.5,347834255.7,9896403520,8249148697,2369343963,6379897,1632648,736888,500735,7801078,5723963,3476727,334565,0,58588,17833,7477444620,72,335924564,143268452,7626064,52,124935,67226
70% to <100% Web TPV,Digital Platform Distribution,Week,2023-10-21,2023-10-21,FY24,10,1071.557017,240.320093,748.1596959,269.7863735,50317,39.7276711,5.020183663,29977,1,1,1,1,null,null,null,null,1,null,1,null,1577505749,824984292.9,490654199,33393,2077471,1107933,249487,878899862.8,63015074.82,67779451.97,58856063.09,1372056452,1025396421,411373402.2,1328875,171632,220476,144047,1556808,1045177,657554,28399,0,912,702,1022144568,0,9061600,9256197,1410714,0,4613,8498
Unclassified,Digital Platform Distribution,Week,2023-10-21,2023-10-21,FY24,10,1166.281934,362.092723,561.5917109,395.836203,21929,15.77944105,42.86079894,31621,1,1,1,1,null,null,null,null,1,null,1,null,961734420,578657788.6,254945598.5,32530,2192734,1190498,239556,121362404.7,748068118.5,18131432.51,16632319.1,172228915.5,235776015.8,751396365.8,232193,1402385,57339,42639,254837,241723,1638750,27588,0,2651,1134,633209381,74,12882628,8947312,1471506,50,13944,12822
100% Mobile TPV,Digital Platform Distribution,Week,2023-10-21,2023-10-21,FY24,10,1220.198812,254.326603,833.78825,null,63508,7.958285973,0,39299,1,1,1,1,null,null,null,null,1,null,1,null,420157595.9,254561841.6,119463526.3,42578,487683,274242,48101,260730719,0,3659.39,672,399120134.1,341596285.6,34325187.6,342538,0,5,2,472411,344722,45309,29885,0,7351,1971,250478625,0,26323350,8783911,322780,0,11423,4560
100% Web TPV,Digital Platform Distribution,Week,2023-10-21,2023-10-21,FY24,10,1963.500747,299.961035,1375.671459,null,481411,12.64449561,0,298078,1,1,1,1,null,null,null,null,1,null,1,null,8651026860,3423974089,3743376311,309159,5702265,2737945,1067870,5107374301,0,304241045.6,272131889.1,7765394227,6315516731,1119979618,4131796,0,454920,294348,5034242,3666442,1056568,231790,0,47935,13156,5354740318,0,280407203,112134020,3989797,0,87190,38642
70% to <100% Mobile TPV,Digital Platform Distribution,Week,2023-10-21,2023-10-21,FY24,10,962.3021457,264.167767,705.8708905,215.0597802,11273,20.68707316,0.5528558101,7330,1,1,1,1,null,null,null,null,1,null,1,null,169674466.4,107317877.9,45639656.51,7827,240490,141113,21966,107942824.3,1286501.63,592918.67,555319.63,169233819.4,126491299.3,26538823.91,160717,4437,3177,2386,226059,153065,45019,6407,0,380,237,114557160,0,3254024,1694810,164588,0,1563,1504
Cross-Platform Blended,Digital Platform Distribution,Week,2023-10-21,2023-10-21,FY24,10,1281.708602,303.324188,926.3552628,160.1712047,16321,15.88480534,0.332461369,10309,1,1,1,1,null,null,null,null,1,null,1,null,246249128,130549521.2,72286220.2,10671,251323,139440,28226,147405700.1,822830.54,3004708.16,2842541.3,224992011.2,183067437.8,27097087.87,182237,3106,14518,11322,230839,171824,37295,9088,0,770,257,156277172,0,4965551,2160930,173285,0,2536,1408
100% Invoice TPV,Billing & Receipt Channel Mix,Week,2023-10-28,2023-10-28,FY24,10,1791.18194,332.74833,1270.404206,null,584722,13.44947136,0,377324,1,1,1,1,null,null,null,null,1,null,1,null,10245509205,4109668268,4023080924,398428,7442383,3546836,1237909,6148655356,0,314537597.9,287090486.8,8936636771,7586747380,1314285049,5396544,0,541089,351082,6446772,4779509,1318559,292842,0,56022,15385,6572126488,0,311184029,120388547,5047481,0,106653,46918
70% to <100% Invoice TPV,Billing & Receipt Channel Mix,Week,2023-10-28,2023-10-28,FY24,10,957.3907366,221.518956,683.1255854,261.8222712,27244,49.75870255,10.18677943,17114,1,1,1,1,null,null,null,null,1,null,1,null,1014914668,549803163.1,292928179.7,17660,1527742,836429,188785,551186681.3,68371912.16,56939140,47943646.75,819268578.2,579003192.8,343700517,929321,184987,169244,104471,1089753,675303,621518,15674,0,365,596,658513747,0,3002135,9392760,1043401,0,2559,7271
Other Mixed,Billing & Receipt Channel Mix,Week,2023-10-28,2023-10-28,FY24,10,1246.939424,387.661405,590.7846525,328.9946978,21406,15.56696394,63.70304903,14550,1,1,1,1,null,null,null,null,1,null,1,null,643989747.5,389761284.4,169968094.7,14817,1539139,843242,184629,113480318.6,442827419.2,18459982.55,16438199.75,167626935.6,145584531.2,503284367.9,221285,991334,54414,39414,244912,194716,1162724,12779,0,459,320,412725902,118,3178864,3488309,1053732,81,5118,6889
100% SR TPV,Billing & Receipt Channel Mix,Week,2023-10-28,2023-10-28,FY24,10,7803.472322,334.981147,null,515.7597369,0,null,24.75444786,16941,1,1,1,1,null,null,null,null,1,null,1,null,326463042.1,185636426.8,88083738.69,17823,562597,318988,60584,0,328261198.4,0,0,0,78719631.38,244372471.6,0,459015,0,0,0,46267,452125,13518,0,2242,795,203015777,0,9444077,5058276,387474,0,7960,3619
New (0-12 months),New Acquisition Cohort,Month,2023-10-31,2023-10-31,FY24,10,1632.398147,363.207839,1228.982819,400.0979869,174519,9.255909741,1.614252239,107877,1,1,1,1,null,null,null,null,1,null,1,null,1953427001,962832293.6,722045806.5,117660,1748734,929280,212564,1129659240,106580463.6,47757603.15,42201062,1795332251,1445899390,322006279.3,1020630,189345,84961,56432,1303389,934900,442307,76789,0,17589,17332,1184425973,34,86753446,144115866,1112421,24,32473,63227
Established (24+ months),New Acquisition Cohort,Month,2023-10-31,2023-10-31,FY24,10,1504.861477,282.322164,1144.346138,379.2060855,355274,18.98651456,4.79562409,230361,1,1,1,1,null,null,null,null,1,null,1,null,8159706433,3484948304,3169974276,245950,7723473,3685471,1243035,4491832858,620627171.1,306271859.7,258647556.7,6703146386,5295448353,1789267225,4338635,1170225,588568,366575,5227220,3694932,2528324,198844,0,31244,0,5159407359,36,181330669,0,5414040,22,63923,0
Growing (12-24 months),New Acquisition Cohort,Month,2023-10-31,2023-10-31,FY24,10,1612.51663,321.034559,1239.297546,400.1849458,118606,12.50897299,2.330629701,78951,1,1,1,1,null,null,null,null,1,null,1,null,1875102202,860109648.4,769672758.4,84515,1729273,894545,237078,1112492301,107866274.3,52376224.02,48519503.34,1642527520,1366674533,323389431.3,1006118,198487,99470,65322,1245188,969610,442233,63012,0,13861,0,1262292528,17,75077371,0,1158912,11,30717,0
Unclassified,New Acquisition Cohort,Month,2023-10-31,2023-10-31,FY24,10,2052.430029,451.03664,1610.848671,617.7451745,3883,11.35658104,3.270663282,2474,1,1,1,1,null,null,null,null,1,null,null,null,79972336.65,40382180.93,27004491.83,2654,52643,30252,5906,44432401.46,7219998.31,916513.6,799853.28,66867963.41,55006887.75,14869250.9,28926,8434,2126,1202,37345,26931,16948,1923,0,0,0,52595609,0,0,0,35619,0,0,0
Growing (12-24 months),New Acquisition Cohort,Week,2023-11-04,2023-11-04,FY24,11,1539.318085,291.972514,1217.910537,377.7504273,122375,12.73643894,2.297124898,79819,1,1,1,1,null,null,null,null,1,null,1,null,1875268993,881015342.9,729037360.9,85425,1661221,862160,230481,1113730635,107279988.4,53287446.02,47552760.7,1680466926,1406766627,309861374.7,998829,204674,99910,63633,1225163,953980,446299,63413,0,13458,0,1235348344,11,72813716,0,1109657,11,28354,0
Unclassified,New Acquisition Cohort,Week,2023-11-04,2023-11-04,FY24,11,1945.487741,414.94024,1602.845405,611.9293172,3870,11.95294867,3.166915651,2579,1,1,1,1,null,null,null,null,1,null,null,null,80021215.55,38287634.3,27915301.88,2586,53063,29003,5632,42987508,7205440.61,872321.73,793540.5,66307132.01,52962071.02,14193701.63,29564,7928,2017,1164,36952,27119,16715,1920,0,0,0,49908724,0,0,0,36019,0,0,0
New (0-12 months),New Acquisition Cohort,Week,2023-11-04,2023-11-04,FY24,11,1557.408393,438.587527,1218.74609,402.3804166,173522,9.03572191,1.631232342,110425,1,1,1,1,null,null,null,null,1,null,1,null,1917996104,960856023.1,703384026.9,118355,1677367,934331,199235,1126931893,109411336.5,44570279.98,39877625.08,1774369668,1462773319,321567484,1014193,196602,84788,52542,1257259,953646,440024,74789,0,15985,16430,1162086570,53,82503354,136414221,1097922,43,31870,61907
Established (24+ months),New Acquisition Cohort,Week,2023-11-04,2023-11-04,FY24,11,1380.150065,273.593649,1123.984673,369.7358162,354292,18.72179495,4.909672442,225762,1,1,1,1,null,null,null,null,1,null,1,null,7654972092,3464643767,3191538250,242184,7814115,3656534,1248151,4436936194,603608610.7,295387800.7,248815074.6,6705723476,5425876465,1769918807,4208725,1140027,577050,340031,5071634,3589287,2677857,198280,0,29332,0,5255766675,37,170137752,0,5285481,20,61396,0
All Segments,Aggregate,Week,2023-11-04,2023-11-04,FY24,11,1462.983017,318.24929,1159.22941,388.6497935,648459,14.70839116,3.526309417,428671,1,1,1,1,null,null,null,null,1,null,1,null,11545297383,5390730252,4494488661,456833,11035661,5456561,1679292,6548604021,837421604,406098287.6,325274582.4,9962844934,8071992052,2477743477,6153777,1595002,751127,458192,7703750,5723595,3564776,334917,0,58709,16796,7470816563,99,337433419,138610874,7581100,75,123117,61684
Unclassified,Bank Transfer & Card Distribution,Week,2023-11-11,2023-11-11,FY24,11,2495.964415,390.164125,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank & Card Blended,Bank Transfer & Card Distribution,Week,2023-11-11,2023-11-11,FY24,11,1673.807632,352.523352,1246.10964,455.397476,64546,19.52535019,3.786061159,41808,1,1,1,1,null,null,null,null,1,null,1,null,1653318328,803812641.7,618176121.1,45312,1510989,622049,303148,944704248.5,113084258.6,68807809.47,58786102.42,1432282683,1161756561,331517439.9,887290,169283,118178,71682,1047046,815560,399429,37880,0,2232,634,1126450734,0,19115188,10048345,1038540,0,7380,4382
ACH between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-11-11,2023-11-11,FY24,11,2815.928337,459.609079,2040.566518,634.2001092,56696,20.66243223,4.039820487,37999,1,1,1,1,null,null,null,null,1,null,1,null,2723225643,266481874.5,1806422389,40011,1387333,202060,599847,1510155783,144077972.3,83027954.11,68197256.72,2281598990,1973350624,351553630.9,817556,161331,112532,64478,966552,738506,365145,33269,0,1681,441,1820881183,0,27167391,10841183,918078,0,6356,2465
CC between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-11-11,2023-11-11,FY24,11,834.1912037,253.151001,637.1879677,304.3215203,100992,38.70080639,6.665978371,62840,1,1,1,1,null,null,null,null,1,null,1,null,2568872024,2102751388,230974189.7,65103,4205619,2575640,240270,1502918487,189430567.6,106634501.7,79713061.26,2152178406,1666386159,750899938.9,2609252,452030,358382,226594,3047870,2283605,1266660,57255,0,1411,618,1750162455,0,14817120,10782571,2899385,0,8863,12100
CC 100%,Bank Transfer & Card Distribution,Week,2023-11-11,2023-11-11,FY24,11,1198.277973,246.997884,869.300514,281.1654894,279873,7.462358345,3.461885539,188476,1,1,1,1,null,null,null,null,1,null,1,null,2151678401,2045844584,0,203502,3046714,2080546,0,1189213145,278286454.2,30532629.21,22351953.56,1817829859,1265472941,815232117.7,1437613,714761,67538,36907,1936889,1160903,1380337,142052,0,37984,11885,1350637561,76,126927981,62072482,1973398,51,69022,36232
Non-MAIP & Mixed ACH 100%,Bank Transfer & Card Distribution,Week,2023-11-11,2023-11-11,FY24,11,4016.787634,673.760627,3096.399455,916.3127605,132825,6.54874827,0.8323048236,87038,1,1,1,1,null,null,null,null,1,null,1,null,2764984409,0,2011386200,90366,929869,0,522954,1621140371,97090883.32,105191023.8,99210256.27,2469860559,2227190674,198265938.1,596835,77346,88620,59816,686177,601986,150990,67055,0,16163,3420,1708913094,18,141090398,41033030,620347,12,25081,7101
Other Mixed,Managed Pay & Batch Processing,Week,2023-11-11,2023-11-11,FY24,11,1616.116972,357.634641,1185.027133,382.0131425,657960,14.63516056,3.465700811,419119,1,1,1,1,null,null,null,null,1,null,1,null,11598366345,5272399540,4759725941,435891,11083181,5641330,1656409,6647576328,814879172.7,404486843,328786609.1,9977908792,8112144522,2379640164,6483574,1595347,749997,467414,7810899,5758379,3567436,344035,0,60126,16683,7822924413,93,332287857,133567481,7274235,62,117665,63373
Batch Auto-Entry,Managed Pay & Batch Processing,Week,2023-11-11,2023-11-11,FY24,11,315.82,430.81415,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Segments,Aggregate,Week,2023-11-11,2023-11-11,FY24,11,1626.774061,358.893213,1189.083139,380.9682112,633606,14.32368126,3.5170486,427614,1,1,1,1,null,null,null,null,1,null,1,null,11660463199,5239374965,4774858142,440123,11053957,5470816,1706471,6702636316,802587713.8,395058810.7,328914962.2,10188053474,8328100417,2453253506,6397772,1554916,756512,453396,7754739,5755772,3573691,336590,0,57564,17135,7767252531,92,333929353,131593448,7494666,62,118826,61959
70% to <100% Web TPV,Digital Platform Distribution,Week,2023-11-11,2023-11-11,FY24,11,1031.572662,259.438743,755.3900881,270.5472211,48494,40.1599206,5.128972625,30388,1,1,1,1,null,null,null,null,1,null,1,null,1507961488,835130910.1,509832094.3,33241,2096815,1093403,268146,877469394.7,61254966.88,71929862.6,57255023.31,1381307308,968721423.4,417012081.6,1346933,165630,216166,133924,1556411,1023479,683766,27483,0,855,673,1059848077,0,8287568,9764798,1468654,0,4026,7180
Unclassified,Digital Platform Distribution,Week,2023-11-11,2023-11-11,FY24,11,1104.929099,361.764387,557.3327289,401.0496577,21911,16.09598081,42.14258841,31727,1,1,1,1,null,null,null,null,1,null,1,null,909468845.7,549442594.3,247392355.8,34034,2111402,1153700,238142,114172459.2,736175913.8,18000347.09,15373112.33,167038807.8,231707009.9,716407675.9,234213,1397930,54787,36223,250114,238253,1617285,27591,0,2687,1089,626592997,96,13165367,8304181,1441564,60,12628,12011
100% Mobile TPV,Digital Platform Distribution,Week,2023-11-11,2023-11-11,FY24,11,1178.63408,301.545181,851.3574905,null,63765,8.070853721,0,39117,1,1,1,1,null,null,null,null,1,null,1,null,414481642.2,241690663.8,118325786.9,42751,486620,270858,46520,256396374.6,0,1969,1906,397802667.2,338753930.9,35480982.77,331654,0,5,3,444468,351907,46341,29608,0,7143,1866,251718746,0,24287684,8432178,316098,0,11506,4067
100% Web TPV,Digital Platform Distribution,Week,2023-11-11,2023-11-11,FY24,11,1832.550651,347.198745,1393.923207,null,471025,12.41030119,0,306562,1,1,1,1,null,null,null,null,1,null,1,null,8369051361,3401854668,3682752283,328210,5978787,2767098,1062132,5266607525,0,300730814.7,250208842.5,7886045105,6306493846,1164370335,4187435,0,476320,275559,5083765,3744785,1130692,234477,0,47047,12946,5343930641,0,270971408,105590079,3830814,0,85847,36580
70% to <100% Mobile TPV,Digital Platform Distribution,Week,2023-11-11,2023-11-11,FY24,11,981.8831667,299.007278,725.1118115,214.5383812,11934,20.21219755,0.5406176406,7196,1,1,1,1,null,null,null,null,1,null,1,null,170416040.6,105503427.7,45531506.89,7610,228573,138218,21096,105470243.4,1252532.81,549481.03,494047.08,161931371.6,125683728.2,25381778.49,158983,4140,3022,1931,210049,151477,44541,6302,0,403,204,115391038,0,3120518,1622008,156752,0,1426,1352
Cross-Platform Blended,Digital Platform Distribution,Week,2023-11-11,2023-11-11,FY24,11,1246.15995,355.15955,906.0688077,198.8767086,15881,16.80747674,0.2759764652,10245,1,1,1,1,null,null,null,null,1,null,1,null,235320961.1,129974914.5,73207429.76,10878,267565,140401,29761,143718721.3,961826.44,3295411.17,3020398.73,225052932.1,189037117.3,28509936.76,179353,3371,16445,11588,223189,173906,42309,8766,0,712,238,162139816,0,4917525,2407180,174058,0,2356,1438
Other Mixed,Managed Pay Subscribers,Week,2023-11-25,2023-11-25,FY24,11,1653.813921,270.35554,1182.39516,381.4701595,638743,14.03847787,3.503700044,402590,1,1,1,1,null,null,null,null,1,null,1,null,11002519293,4932947208,4246132051,437573,10529736,5148666,1603690,6123299506,774427969.9,386343373.7,312931064.2,9587641362,7832735510,2341782667,6047560,1543450,733278,448844,7142975,5197905,3343369,338714,0,54125,15531,6999451587,81,307693899,117908647,7032819,60,108000,60729
100% Invoice TPV,Billing & Receipt Channel Mix,Month,2023-11-30,2023-11-30,FY24,11,1723.874083,286.445726,1289.43714,null,592208,12.39137926,0,370614,1,1,1,1,null,null,null,null,1,null,1,null,9569263047,4000441789,4131944639,382042,7109564,3439958,1236894,5845087100,0,339507621.7,283575820.6,9015901370,7138979134,1316649622,5191385,0,543028,332485,6217790,4597775,1323777,289694,0,58199,14297,6133388192,0,317936468,112990140,4945643,0,106389,42974
Other Mixed,Billing & Receipt Channel Mix,Month,2023-11-30,2023-11-30,FY24,11,1082.774535,333.810391,555.6223716,326.3340786,21883,15.120433,60.78225768,14269,1,1,1,1,null,null,null,null,1,null,1,null,611148189.9,352136270.3,169420878.9,14562,1544080,809886,189323,109404437.7,436826310,18297926.71,15644450.24,156917169.3,143642794.9,473636877.5,225833,926843,57744,36959,234930,179136,1083014,12665,0,406,256,402272719,82,3514201,2795366,1018439,67,3611,6928
100% SR TPV,Billing & Receipt Channel Mix,Month,2023-11-30,2023-11-30,FY24,11,7308.900989,342.621715,null,498.8806441,0,null,25.12304146,16405,1,1,1,1,null,null,null,null,1,null,1,null,320243100.3,190674527.6,86868507.45,18327,572876,317504,57730,0,329310153.7,0,0,0,82874930.29,243707632.6,0,463533,0,0,0,42523,440003,13464,0,2311,773,205144080,0,9550451,5293171,380263,0,7409,4878
70% to <100% Invoice TPV,Billing & Receipt Channel Mix,Month,2023-11-30,2023-11-30,FY24,11,870.8862822,245.111582,687.0933384,268.8294489,26285,48.4633752,9.418229925,16358,1,1,1,1,null,null,null,null,1,null,1,null,921637184.1,500899627.9,285845641.9,17380,1406453,778554,175438,550194280.7,62104473.95,56442619.75,43425622.68,778226370.4,530103027.2,338587299.9,864826,167416,167009,99239,1019429,607623,592683,14680,0,333,498,640444785,0,2678578,6113889,1019552,0,1736,8920
Unclassified,Bank Transfer & Card Distribution,Week,2023-12-02,2023-12-02,FY24,12,2208.581296,347.235702,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank & Card Blended,Bank Transfer & Card Distribution,Week,2023-12-02,2023-12-02,FY24,12,1563.799161,297.697805,1221.465649,475.9957754,64549,19.22937481,3.863757433,41404,1,1,1,1,1,1,1,1,1,1,1,1,1605849211,772148386.1,601634739.4,42932,1356699,571826,287696,903778483.9,107735713.4,68986165.11,60382216.41,1373807008,1126378306,317880001.3,807937,164736,126030,72374,1017274,744578,379058,37271,0,1807,524,1083875648,0,15740546,6461161,957158,0,6072,3410
ACH between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-12-02,2023-12-02,FY24,12,2497.606751,365.285235,1990.92826,602.7858465,57551,19.97591464,4.556548178,35922,1,1,1,1,1,1,1,1,1,1,1,1,2527996010,241491650.2,1620049508,38480,1270233,195481,557983,1453548009,140099832.8,80213209.69,65478311.07,2192409768,1802792023,343786904,782177,166780,116431,63594,902772,707319,364441,33422,0,1539,432,1626860806,0,24426696,10530541,881924,0,5554,2358
CC between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-12-02,2023-12-02,FY24,12,768.0082642,246.521543,629.7144298,299.6385556,96906,38.50117168,7.048511122,59818,1,1,1,1,1,1,1,1,1,1,1,1,2411262027,2038125359,214239338.3,64263,4063374,2379654,221176,1388804722,179254460.8,101172199,79436286.19,1978822716,1532299314,718017268.9,2449840,439288,349313,224179,2837731,2034205,1197788,57280,0,1280,565,1592252009,0,11865856,9842495,2807818,0,8895,9368
CC 100%,Bank Transfer & Card Distribution,Week,2023-12-02,2023-12-02,FY24,12,1167.155686,222.021798,888.9998255,278.6451662,287009,7.386148583,3.210846702,185272,1,1,1,1,1,1,1,1,1,1,1,1,2102465650,1992669151,0,202263,2865084,2031689,0,1139853510,267216333.8,29707291.26,22261174.67,1698371000,1170793798,770795773.8,1414700,661441,69828,37009,1815852,1151582,1290439,145285,0,36869,10492,1275627510,60,122868270,57985607,1885240,48,68717,37004
Non-MAIP & Mixed ACH 100%,Bank Transfer & Card Distribution,Week,2023-12-02,2023-12-02,FY24,12,3747.989534,349.613394,3031.619235,903.7327574,133759,6.34807646,0.8576268733,85540,1,1,1,1,1,1,1,1,1,1,1,1,2700729401,0,2000405901,89795,883764,0,503586,1560329916,97300843.12,108452235.2,104328526.6,2369206676,2090231589,188929257.6,554565,78592,92484,58835,648211,568190,156730,69539,0,14442,3345,1617469757,10,128617263,37160100,587209,7,23089,6591
70% to <100% Web TPV,Digital Platform Distribution,Week,2023-12-02,2023-12-02,FY24,12,911.231279,258.136668,772.1584139,269.4470889,47917,38.30838126,4.914997496,29698,1,1,1,1,1,1,1,1,1,1,1,1,1397326683,727919708.2,458688123.2,30292,1893908,1011322,239165,804484162,55077898.07,66526530.16,53961909.2,1183996401,875881581.2,366728355.6,1170123,150655,213035,123023,1385054,951897,610728,27503,0,776,604,940302743,0,6514672,6954753,1326307,0,3334,5571
Unclassified,Digital Platform Distribution,Week,2023-12-02,2023-12-02,FY24,12,995.6440051,323.401408,571.3650297,392.2273132,21348,15.40077448,41.30873927,30947,1,1,1,1,1,1,1,1,1,1,1,1,917153256.8,533338810.1,252507008.1,33948,2093999,1109166,241722,115621650.5,752968204.6,17964326.41,16094570.1,155420362.7,228951135.2,686700210.6,230881,1337553,57591,38489,242467,224476,1508285,26546,0,2667,1000,583358539,69,12410440,7800538,1445530,53,13045,12141
100% Mobile TPV,Digital Platform Distribution,Week,2023-12-02,2023-12-02,FY24,12,1198.263373,308.210811,871.3982049,null,60811,7.446752259,0,38808,1,1,1,1,1,1,1,1,1,1,1,1,395950422.5,236592678,110307453.5,42381,442417,256396,46493,246476927.8,0,2004,1150,385719731.3,310080642.2,34219503.6,310898,0,4,2,415902,314453,42834,29388,0,6936,1692,248765937,0,25106908,7608490,300446,0,11373,3904
100% Web TPV,Digital Platform Distribution,Week,2023-12-02,2023-12-02,FY24,12,1727.474858,272.738337,1382.472521,null,489065,12.64925326,0,290516,1,1,1,1,1,1,1,1,1,1,1,1,8346260519,3175879839,3522964862,309432,5753696,2600426,1015022,4824266323,0,303045631.2,250449036.8,7440829066,5917538118,1129093367,3873969,0,473081,274653,4983241,3529626,1069711,232733,0,44729,11515,5336274474,0,257330992,94972075,3856684,0,81718,34817
70% to <100% Mobile TPV,Digital Platform Distribution,Week,2023-12-02,2023-12-02,FY24,12,921.989311,237.245356,721.7657975,208.36743,11048,19.78055304,0.576256271,6925,1,1,1,1,1,1,1,1,1,1,1,1,152086385.3,92122561.6,42093955.57,7262,212604,121295,18587,91555840.43,1115219.74,548621.15,533495.33,142937763.6,110138147.4,24369466,147495,4092,2686,1855,196579,135726,40563,6038,0,337,187,101657671,0,2403745,1355315,147258,0,1277,1130
Cross-Platform Blended,Digital Platform Distribution,Week,2023-12-02,2023-12-02,FY24,12,1172.847914,173.014568,922.2344174,196.5664244,15486,16.29162787,0.2969537353,9791,1,1,1,1,1,1,null,1,1,1,1,null,226066997.4,121500389.9,68544618.2,10511,246885,134091,27140,131097178.1,848752.67,3242430.92,2858828.99,214815611.7,174374590.4,25898523.79,170356,3198,15588,11057,211464,157638,37735,8490,0,644,227,148832650,0,4145081,1729396,170950,0,2123,1071
70% to <100% Web TPV,Digital Platform Distribution,Week,2023-12-16,2023-12-16,FY24,12,1080.984527,239.486376,770.9718077,276.8411084,45498,38.46344934,4.827313016,29343,1,1,1,1,1,1,1,1,1,1,1,1,1371443126,723717020.8,469355320.8,31135,1832918,980737,239061,813363119.2,56492756.98,70913841.4,52949327.37,1200980064,879386305.1,369106925.7,1196046,147911,215001,129746,1353004,939259,627180,26250,0,759,586,945144415,0,7464852,7796800,1262584,0,4193,6123
